node,value,cycle,representative,partition
born_in_chaos_v1:magicskull,0,,,part-001
protection_pixel:hellsnakeas_chestplate,0,,,part-000
minecraft:basalt,0,,,part-002
supplementaries:suspicious_gravel_bricks,0,,,part-003
minecraft:nether_gold_ore,0,,,part-000
minecraft:deepslate_gold_ore,0,,,part-000
born_in_chaos_v1:black_argillite_brick_wall_n,0,,,part-005
minecraft:red_mushroom,0,,,part-000
betterarcheology:guardian_fossil_head,0,,,part-008
minecraft:music_disc_stal,0,,,part-009
minecraft:dead_tube_coral_fan,0,,,part-010
realmrpg_skeletons:chorus_skeleton,0,,,part-011
crystal_chronicles:artree_base,0,,,part-012
irons_spellbooks:misery,0,,,part-014
minecraft:brain_coral_fan,0,,,part-015
born_in_chaos_v1:tombstone_derivas,0,,,part-017
irons_spellbooks:wimpy_spell_book,0,,,part-018
artifacts:flippers,0,,,part-019
artifacts:fire_gauntlet,0,,,part-020
minecraft:tropical_fish,0,,,part-023
irons_spellbooks:autoloader_crossbow,0,,,part-024
protection_pixel:incompletebreaker,0,,,part-025
realmrpg_skeletons:bow_skeleton,0,,,part-026
born_in_chaos_v1:seedof_chaos,0,,,part-000
betterarcheology:growth_totem,0,,,part-000
minecraft:arms_up_pottery_sherd,0,,,part-030
minecraft:nether_star,0,,,part-000
fdbosses:no_entity_spawn_block,0,,,part-031
minecraft:dead_fire_coral,0,,,part-032
born_in_chaos_v1:spiritual_easter_egg,0,,,part-034
irons_spellbooks:decrepit_scythe,0,,,part-000
minecraft:warped_nylium,0,,,part-037
born_in_chaos_v1:black_argillite_brick_slab_n,0,,,part-039
realmrpg_skeletons:explorer_skeleton,0,,,part-040
numismatics:sun,0,,,part-041
relics:bastion_ring,0,,,part-042
relics:chorus_inhibitor,0,,,part-044
crystal_chronicles:blood_bases,0,,,part-045
artifacts:antidote_vessel,0,,,part-046
betterarcheology:creeper_fossil_head,0,,,part-047
minecraft:music_disc_mall,0,,,part-048
minecraft:frogspawn,0,,,part-049
irons_spellbooks:blaze_spell_book,0,,,part-050
artifacts:everlasting_beef,0,,,part-051
minecraft:tropical_fish_bucket,0,,,part-054
minecraft:potato,0,,,part-000
protection_pixel:incompleteplague,0,,,part-056
irons_spellbooks:archevoker_chestplate,0,,,part-000
relics:aqua_walker,0,,,part-057
minecraft:seagrass,0,,,part-058
born_in_chaos_v1:killer_rabbit_ears_helmet,0,,,part-000
randomium:randomium_ore_end,0,,,part-060
born_in_chaos_v1:charmof_power,0,,,part-061
crystal_chronicles:fat_tissue_ball,0,,,part-062
minecraft:porkchop,0,,,part-000
born_in_chaos_v1:damned_demomans_hat_helmet,0,,,part-000
protection_pixel:incompletefalconnest,0,,,part-065
born_in_chaos_v1:lord_pumpkinheads_empty_lamp,0,,,part-000
relics:reflection_necklace,0,,,part-067
create:netherite_backtank,0,,,part-069
minecraft:water_bucket,0,,,part-000
born_in_chaos_v1:intoxicating_decoction,0,,,part-000
supplementaries:ash,0,,,part-000
artifacts:cowboy_hat,0,,,part-070
irons_spellbooks:cultist_leggings,0,,,part-000
sophisticatedstorage:pump_upgrade,0,,,part-072
artifacts:feral_claws,0,,,part-073
stonkstimecore:mcoin_1,0,,,part-074
realmrpg_skeletons:mossy_skeleton,0,,,part-076
relics:roller_skates,0,,,part-077
minecraft:angler_pottery_sherd,0,,,part-079
betterarcheology:wolf_fossil_body,0,,,part-080
suppsquared:sack_red,0,,,part-082
minecraft:cod_bucket,0,,,part-083
minecraft:saddle,0,,,part-000
realmrpg_skeletons:buried_skeleton,0,,,part-084
irons_spellbooks:evasion_elixir,0,,,part-085
realmrpg_skeletons:shot_skeleton,0,,,part-086
born_in_chaos_v1:fired_black_argillite_n,0,,,part-088
minecraft:filled_map,0,,,part-000
supplementaries:flax_seeds,0,,,part-089
