node,value,cycle,representative,partition
hazennstuff:obsidian_claymore,400.0,,,part-001
numismatics:sun,4096.0,,,part-000
minecraft:frogspawn,15.0,,,part-004
crystal_chronicles:fat_tissue_ball,1.0,,,part-005
irons_spellbooks:bone_key,800.0,,,part-006
born_in_chaos_v1:lord_pumpkinheads_empty_lamp,1000.0,,,part-000
hazennstuff:malice,500.0,,,part-008
minecraft:resin_clump,10.0,,,part-000
minecraft:phantom_membrane,10.0,,,part-000
gametechbcs_spellbooks:amulet_of_spectral_shift,360.0,,,part-010
minecraft:rotten_flesh,2.5,,,part-000
numismatics:cog,64.0,,,part-000
minecraft:totem_of_undying,450.0,,,part-011
born_in_chaos_v1:potion_of_rampage,160.0,,,part-012
minecraft:ominous_trial_key,900.0,,,part-013
born_in_chaos_v1:pumpkinhandgun,300.0,,,part-014
minecraft:enchanted_book,60.0,,,part-000
born_in_chaos_v1:nightmare_stalker_skull,350.0,,,part-000
supplementaries:quiver,110.0,,,part-015
minecraft:spider_eye,1.0,,,part-000
minecraft:obsidian,1.0,,,part-000
fdbosses:malkuth_fist,600.0,,,part-016
born_in_chaos_v1:wood_splitter_axe,60.0,,,part-000
betterarcheology:evoker_trap,30.0,,,part-017
minecraft:breeze_rod,20.0,,,part-000
born_in_chaos_v1:missionary_hat_helmet,150.0,,,part-018
create:experience_nugget,16.0,,,part-000
minecraft:prismarine_bricks,1.0,,,part-000
numismatics:sprocket,16.0,,,part-021
born_in_chaos_v1:spiny_shell,20.0,,,part-000
hazennstuff:shadow_scale,60.0,,,part-000
born_in_chaos_v1:corpse_maggot,0.2,,,part-000
born_in_chaos_v1:bottle_of_magical_energy,160.0,,,part-022
minecraft:heavy_core,3000.0,,,part-000
born_in_chaos_v1:lifestealer_skull,300.0,,,part-023
minecraft:rabbit_hide,6.0,,,part-000
hazennstuff:blade_of_the_legate,500.0,,,part-024
stonkstimecore:time_gear,21600.0,,,part-000
numismatics:spur,1.0,,,part-025
born_in_chaos_v1:orbofthe_summoner,400.0,,,part-000
born_in_chaos_v1:lifestealer_bone,16.0,,,part-000
born_in_chaos_v1:spiritual_guide_sombrero_helmet,40.0,,,part-026
minecraft:feather,1.0,,,part-000
minecraft:heart_of_the_sea,2400.0,,,part-000
minecraft:trial_key,300.0,,,part-027
hazennstuff:rod_of_discord,2000.0,,,part-028
dustydecorations:equine_skull,2200.0,,,part-029
born_in_chaos_v1:phantom_powder,45.0,,,part-000
born_in_chaos_v1:krampuss_bag,1600.0,,,part-030
minecraft:turtle_scute,50.0,,,part-000
hazennstuff:overgrown_bone,10.0,,,part-000
minecraft:globe_banner_pattern,320.0,,,part-031
irons_spellbooks:evoker_spell_book,350.0,,,part-032
minecraft:dragon_egg,4096.0,,,part-033
born_in_chaos_v1:bagof_candy,300.0,,,part-034
born_in_chaos_v1:elixirof_insect_protection,160.0,,,part-035
minecraft:amethyst_cluster,25.0,,,part-000
minecraft:torchflower,5.0,,,part-000
hazennstuff:silver_scraps,30.0,,,part-000
born_in_chaos_v1:stimulating_decoction,160.0,,,part-000
minecraft:chorus_fruit,0.5,,,part-000
dustydecorations:fishbones,4.0,,,part-036
hazennstuff:the_prefects_ring,500.0,,,part-037
born_in_chaos_v1:chaos_component,100.0,,,part-000
born_in_chaos_v1:permafrost_shard,10.0,,,part-000
born_in_chaos_v1:dark_rod,20.0,,,part-000
supplementaries:antique_ink,70.0,,,part-000
minecraft:mangrove_roots,0.25,,,part-038
minecraft:snowball,0.25,,,part-000
minecraft:bell,80.0,,,part-039
minecraft:chainmail_leggings,15.0,,,part-000
paraglider:horned_statue,1000.0,,,part-040
dustydecorations:small_shark_jaws,200.0,,,part-041
born_in_chaos_v1:empty_fel_lamp,200.0,,,part-000
minecraft:sniffer_egg,1200.0,,,part-042
minecraft:ice,0.5,,,part-000
born_in_chaos_v1:creepy_gift,200.0,,,part-043
minecraft:nautilus_shell,160.0,,,part-000
irons_spellbooks:icy_fang,30.0,,,part-000
born_in_chaos_v1:lord_pumpkinheads_hat_helmet,1200.0,,,part-044
hazennstuff:starfury,2400.0,,,part-045
minecraft:chorus_flower,8.0,,,part-000
minecraft:prismarine_shard,2.0,,,part-000
minecraft:slime_ball,5.0,,,part-000
hazennstuff:pendant_of_harmony,1200.0,,,part-046
hazennstuff:excalibur_fragment,2000.0,,,part-000
born_in_chaos_v1:smoldering_infernal_ember,12.0,,,part-000
born_in_chaos_v1:mesh_door,15.0,,,part-047
hazennstuff:phantasmium,0.25,,,part-048
minecraft:prismarine_crystals,3.0,,,part-000
born_in_chaos_v1:gnawed_bones,18.0,,,part-049
minecraft:sculk,1.5,,,part-000
minecraft:magma_block,0.8,,,part-000
minecraft:bee_nest,80.0,,,part-050
chimes:carved_bamboo_chimes,60.0,,,part-051
minecraft:experience_bottle,90.0,,,part-000
minecraft:golden_horse_armor,130.0,,,part-000
minecraft:dragon_breath,60.0,,,part-000
lootr:trophy,3600.0,,,part-052
minecraft:ancient_debris,180.0,,,part-000
minecraft:sulfur_spike,0.2,,,part-003
minecraft:ominous_bottle,600.0,,,part-000
minecraft:melon_slice,0.7,,,part-000
dustydecorations:mooshroom_hide,550.0,,,part-053
born_in_chaos_v1:rotten_fish,2.0,,,part-054
irons_spellbooks:ancient_knowledge_fragment,450.0,,,part-000
minecraft:turtle_egg,45.0,,,part-000
minecraft:disc_fragment_5,90.0,,,part-000
fdbosses:phase_sphere,600.0,,,part-055
irons_spellbooks:scroll,60.0,,,part-056
irons_spellbooks:divine_soulshard,7200.0,,,part-000
somemoreblocks:polished_basalt_bricks,0.1,,,part-000
fdbosses:divine_gear,600.0,,,part-057
hazennstuff:cloth_of_the_flamebearer,1200.0,,,part-000
irons_spellbooks:tincture_of_forgetfulness,350.0,,,part-058
born_in_chaos_v1:seedof_chaos,8.0,,,part-000
minecraft:nether_star,3000.0,,,part-000
minecraft:quartz,10.0,,,part-000
born_in_chaos_v1:killer_rabbit_ears_helmet,300.0,,,part-059
born_in_chaos_v1:damned_demomans_hat_helmet,60.0,,,part-060
born_in_chaos_v1:intoxicating_decoction,120.0,,,part-000
supplementaries:ash,0.1,,,part-000
minecraft:ink_sac,1.0,,,part-000
hazennstuff:arcane_sea_shell,340.0,,,part-000
hazennstuff:charred_bones,10.0,,,part-000
minecraft:wither_rose,35.0,,,part-000
born_in_chaos_v1:elixirof_wither_resistance,160.0,,,part-061
born_in_chaos_v1:ethereal_spirit,25.0,,,part-000
vista:crystalline,300.0,,,part-000
irons_spellbooks:dead_king_phylactery_shard,600.0,,,part-000
fdbosses:geburah_explosive_crystal,450.0,,,part-062
crystal_chronicles:neuron,1.0,,,part-000
irons_spellbooks:chained_book,600.0,,,part-000
born_in_chaos_v1:monster_skin,4.0,,,part-000
minecraft:shroomlight,2.0,,,part-000
hazennstuff:spider_fang,25.0,,,part-063
minecraft:nether_wart_block,0.3,,,part-064
irons_spellbooks:keeper_flamberge,300.0,,,part-000
born_in_chaos_v1:nightmare_claw,45.0,,,part-000
minecraft:goat_horn,120.0,,,part-065
born_in_chaos_v1:trident_hayfork,15.0,,,part-066
minecraft:sculk_sensor,10.0,,,part-000
minecraft:elytra,1800.0,,,part-000
supplementaries:urn,15.0,,,part-067
minecraft:player_head,300.0,,,part-068
minecraft:wet_sponge,20.0,,,part-069
minecraft:chainmail_helmet,15.0,,,part-000
born_in_chaos_v1:elixir_of_vampirism,160.0,,,part-070
minecraft:trident,600.0,,,part-071
minecraft:armadillo_scute,20.0,,,part-072
supplementaries:bomb_blue,300.0,,,part-073
minecraft:bamboo,0.1,,,part-000
dustydecorations:cow_skull,450.0,,,part-074
hazennstuff:legionnaire_warlock_axe,600.0,,,part-000
born_in_chaos_v1:fused_bone,15.0,,,part-000
minecraft:wither_skeleton_skull,600.0,,,part-000
minecraft:kelp,0.1,,,part-000
hazennstuff:muramasa,1400.0,,,part-000
minecraft:ghast_tear,30.0,,,part-000
born_in_chaos_v1:magical_holiday_candy,10.0,,,part-075
numismatics:bevel,8.0,,,part-076
minecraft:sweet_berries,0.75,,,part-000
minecraft:warped_wart_block,0.5,,,part-077
crystal_chronicles:eye,2.0,,,part-000
betterarcheology:chiseled_bone_block,5.0,,,part-078
minecraft:echo_shard,300.0,,,part-000
minecraft:sea_lantern,5.0,,,part-000
fdbosses:polished_justicestone,0.2,,,part-007
irons_spellbooks:disc_fragment_flame_still_burns,90.0,,,part-000
minecraft:shulker_shell,30.0,,,part-000
supplementaries:globe,120.0,,,part-000
irons_spellbooks:furled_map,150.0,,,part-079
minecraft:leather,4.0,,,part-000
dustydecorations:cow_hide_rug,450.0,,,part-080
minecraft:gilded_blackstone,45.0,,,part-081
irons_spellbooks:unchained_book,900.0,,,part-082
supplementaries:flax,1.0,,,part-000
born_in_chaos_v1:shattered_skull,10.0,,,part-000
dustydecorations:wolf_skull,350.0,,,part-083
dustydecorations:big_megalodon_tooth,600.0,,,part-084
somemoreblocks:polished_snow,0.5,,,part-009
born_in_chaos_v1:monster_flesh,1.0,,,part-000
jackpot:chip,10.0,,,part-000
born_in_chaos_v1:soulbane,300.0,,,part-085
minecraft:chainmail_boots,15.0,,,part-000
minecraft:crying_obsidian,5.0,,,part-000
minecraft:prismarine,0.3,,,part-000
born_in_chaos_v1:fangofthe_hound_leader,18.0,,,part-000
irons_spellbooks:decrepit_key,900.0,,,part-000
minecraft:chainmail_chestplate,15.0,,,part-000
minecraft:bone,2.0,,,part-000
irons_spellbooks:frozen_bone,10.0,,,part-000
born_in_chaos_v1:elixirof_ice_barrier,160.0,,,part-086
born_in_chaos_v1:fire_dust,15.0,,,part-000
numismatics:crown,512.0,,,part-087
farmersdelight:tree_bark,0.5,,,part-000
minecraft:sculk_vein,0.1,,,part-088
paraglider:stamina_vessel,1300.0,,,part-089
supplementaries:rope_arrow,20.0,,,part-090
minecraft:enchanted_golden_apple,3600.0,,,part-000
randomium:randomium,-1.0,,,part-091
minecraft:apple,3.0,,,part-000
minecraft:piglin_banner_pattern,320.0,,,part-092
irons_lib:player_statue,600.0,,,part-093
irons_spellbooks:wicked_bone_ring,180.0,,,part-094
born_in_chaos_v1:pumpkinstaffa,160.0,,,part-095
born_in_chaos_v1:sea_terror_stomach,60.0,,,part-096
minecraft:pitcher_plant,5.0,,,part-000
minecraft:ender_pearl,20.0,,,part-000
minecraft:flow_banner_pattern,320.0,,,part-097
born_in_chaos_v1:sea_terror_eye,30.0,,,part-098
minecraft:honeycomb,20.0,,,part-000
minecraft:dragon_head,1800.0,,,part-000
relics:golden_tooth,30.0,,,part-099
minecraft:guster_banner_pattern,320.0,,,part-100
hazennstuff:nightmare_fuel,15.0,,,part-000
minecraft:cobweb,5.0,,,part-000
betterarcheology:artifact_shards,100.0,,,part-000
paraglider:spirit_orb,256.0,,,part-101
minecraft:sculk_shrieker,15.0,,,part-102
paraglider:heart_container,1800.0,,,part-103
minecraft:iron_horse_armor,90.0,,,part-000
minecraft:pitcher_pod,0.5,,,part-000
born_in_chaos_v1:spider_mandible,16.0,,,part-000
born_in_chaos_v1:birch_branches,40.0,,,part-104
born_in_chaos_v1:krampus_horn,300.0,,,part-000
minecraft:blaze_rod,15.0,,,part-000
minecraft:diamond_horse_armor,230.0,,,part-105
minecraft:sculk_catalyst,16.0,,,part-000
irons_spellbooks:pyrium_ingot,300.0,,,part-000
hazennstuff:elder_guardian_spine,1200.0,,,part-000
born_in_chaos_v1:bloody_gadfly_eye,30.0,,,part-106
dustydecorations:big_shark_jaws,600.0,,,part-107
create:raw_zinc,5.0,,,part-000
minecraft:pointed_dripstone,0.1,,,part-000
minecraft:netherrack,0.1,,,part-000
minecraft:nether_wart,5.0,,,part-000
hazennstuff:the_tribunes_medallion,500.0,,,part-108
minecraft:rabbit_foot,90.0,,,part-109
hazennstuff:stardust,90.0,,,part-000
create_wizardry:mana-fluid1mB,0.02,,,part-000
minecraft:lava-fluid1mB,0.005,,,part-000
minecraft:water-fluid1mB,0.001,,,part-000
create_wizardry:lightning-fluid1mB,0.04,,,part-000
minecraft:milk-fluid1mB,0.01,,,part-000
sophisticatedcore:xp_still-fluid1mB,0.12,,,part-000
#logs,1.5,,,part-000
#create:rare_packages,1250.0,,,part-113
#minecraft:leaves,0.1,,,part-000
#minecraft:saplings,0.2,,,part-000
#flowers,0.1,,,part-000
#tall_flowers,0.2,,,part-000
#plants,0.1,,,part-000
#froglight,30.0,,,part-000
#eggs,1.0,,,part-000
#plant_foods,7.5,,,part-000
#meat_foods,4.0,,,part-000
#fish_foods,6.0,,,part-000
#corals,2.0,,,part-000
#dirts,0.1,,,part-000
#tombstones,14400.0,,,part-114
#pot_sherds,200.0,,,part-115
#skulls,120.0,,,part-000
