node,value
hazennstuff:obsidian_claymore,8000
fdbosses:divine_gear,6400
hazennstuff:cloth_of_the_flamebearer,1800
born_in_chaos_v1:seedof_chaos,160
minecraft:nether_star,9600
irons_spellbooks:decrepit_scythe,6400
minecraft:warped_nylium,1
numismatics:sun,4096
#eggs,10
minecraft:frogspawn,30
minecraft:tropical_fish_bucket,200
born_in_chaos_v1:killer_rabbit_ears_helmet,8000
crystal_chronicles:fat_tissue_ball,20
born_in_chaos_v1:damned_demomans_hat_helmet,3200
born_in_chaos_v1:intoxicating_decoction,1300
hazennstuff:malice,5900
supplementaries:ash,2
minecraft:cod_bucket,160
minecraft:ink_sac,25
minecraft:phantom_membrane,60
gametechbcs_spellbooks:amulet_of_spectral_shift,220
hazennstuff:charred_bones,110
minecraft:wither_rose,100
numismatics:cog,64
minecraft:totem_of_undying,640
born_in_chaos_v1:elixirof_wither_resistance,1300
born_in_chaos_v1:potion_of_rampage,1300
born_in_chaos_v1:ethereal_spirit,120
#corals,5
minecraft:ominous_trial_key,340
born_in_chaos_v1:pumpkinhandgun,1400
born_in_chaos_v1:nightmare_stalker_skull,1200
supplementaries:quiver,220
fdbosses:geburah_explosive_crystal,2000
crystal_chronicles:neuron,20
minecraft:spider_eye,30
fdbosses:malkuth_fist,6400
born_in_chaos_v1:wood_splitter_axe,120
born_in_chaos_v1:monster_skin,50
betterarcheology:evoker_trap,250
minecraft:shroomlight,10
hazennstuff:spider_fang,50
irons_spellbooks:keeper_flamberge,1600
born_in_chaos_v1:nightmare_claw,500
minecraft:breeze_rod,110
minecraft:goat_horn,90
born_in_chaos_v1:missionary_hat_helmet,900
born_in_chaos_v1:trident_hayfork,120
minecraft:sculk_sensor,20
supplementaries:urn,30
minecraft:player_head,1000
#born_in_chaos_v1:charms,5800
numismatics:sprocket,16
born_in_chaos_v1:spiny_shell,70
minecraft:wet_sponge,40
minecraft:chainmail_helmet,30
hazennstuff:shadow_scale,120
born_in_chaos_v1:elixir_of_vampirism,1300
minecraft:trident,720
born_in_chaos_v1:corpse_maggot,20
born_in_chaos_v1:bottle_of_magical_energy,1300
minecraft:heavy_core,10000
born_in_chaos_v1:lifestealer_skull,1200
minecraft:armadillo_scute,50
supplementaries:bomb_blue,480
minecraft:bamboo,1
minecraft:rabbit_hide,60
hazennstuff:blade_of_the_legate,2600
hazennstuff:legionnaire_warlock_axe,3400
irons_spellbooks:blood_staff,5200
born_in_chaos_v1:fused_bone,30
minecraft:crimson_nylium,1
minecraft:wither_skeleton_skull,2100
minecraft:kelp,0.1
numismatics:spur,1
hazennstuff:muramasa,2800
minecraft:ghast_tear,90
born_in_chaos_v1:orbofthe_summoner,6400
born_in_chaos_v1:lifestealer_bone,500
born_in_chaos_v1:spiritual_guide_sombrero_helmet,180
numismatics:bevel,8
#archeology:vases,250
darkdoppelganger:summons_necklace,15000
minecraft:sweet_berries,10
minecraft:heart_of_the_sea,4800
minecraft:warped_wart_block,1
minecraft:trial_key,180
hazennstuff:rod_of_discord,5500
crystal_chronicles:eye,60
betterarcheology:chiseled_bone_block,10
minecraft:echo_shard,1800
born_in_chaos_v1:phantom_powder,90
#fdbosses:cores,10000
born_in_chaos_v1:krampuss_bag,10000
fdbosses:polished_justicestone,0.5
minecraft:turtle_scute,130
irons_spellbooks:disc_fragment_flame_still_burns,120
minecraft:shulker_shell,70
hazennstuff:overgrown_bone,120
minecraft:globe_banner_pattern,720
minecraft:gilded_blackstone,30
irons_spellbooks:evoker_spell_book,640
minecraft:dragon_egg,7500
born_in_chaos_v1:bagof_candy,6400
born_in_chaos_v1:elixirof_insect_protection,1300
createoreexcavation:raw_redstone,150
minecraft:amethyst_cluster,80
#experience,300
somemoreblocks:polished_snow,1
born_in_chaos_v1:monster_flesh,50
minecraft:torchflower,10
hazennstuff:silver_scraps,60
born_in_chaos_v1:soulbane,1400
minecraft:chainmail_boots,30
minecraft:crying_obsidian,30
born_in_chaos_v1:fangofthe_hound_leader,140
#plant_foods,15
born_in_chaos_v1:stimulating_decoction,1300
minecraft:chorus_fruit,30
irons_spellbooks:decrepit_key,480
hazennstuff:the_prefects_ring,2600
minecraft:chainmail_chestplate,30
born_in_chaos_v1:chaos_component,1600
born_in_chaos_v1:permafrost_shard,120
born_in_chaos_v1:dark_rod,90
crystal_chronicles:hemalite_block,100
born_in_chaos_v1:elixirof_ice_barrier,1300
minecraft:axolotl_bucket,160
supplementaries:antique_ink,140
irons_spellbooks:necronomicon_spell_book,5200
minecraft:mangrove_roots,0.5
#meat_foods,40
minecraft:snowball,0.5
minecraft:bell,160
minecraft:chainmail_leggings,30
paraglider:horned_statue,1600
born_in_chaos_v1:fire_dust,100
#quartz_ores,120
numismatics:crown,512
minecraft:sniffer_egg,460
#froglight,90
minecraft:sculk_vein,1
paraglider:stamina_vessel,1860
supplementaries:rope_arrow,160
minecraft:enchanted_golden_apple,8500
minecraft:salmon_bucket,200
born_in_chaos_v1:creepy_gift,3800
randomium:randomium,-1
minecraft:nautilus_shell,240
minecraft:apple,20
minecraft:powder_snow_bucket,200
minecraft:piglin_banner_pattern,540
#born_in_chaos_v1:candies,90
born_in_chaos_v1:lord_pumpkinheads_hat_helmet,3600
hazennstuff:starfury,4600
minecraft:chorus_flower,60
born_in_chaos_v1:pumpkinstaffa,650
born_in_chaos_v1:sea_terror_stomach,360
minecraft:pitcher_plant,10
minecraft:ender_pearl,60
minecraft:flow_banner_pattern,960
born_in_chaos_v1:sea_terror_eye,120
minecraft:honeycomb,140
#dark_metal_ores,800
minecraft:dragon_head,4500
#fish_foods,55
hazennstuff:excalibur_fragment,4600
minecraft:guster_banner_pattern,960
minecraft:cobweb,10
born_in_chaos_v1:smoldering_infernal_ember,120
born_in_chaos_v1:mesh_door,30
betterarcheology:artifact_shards,1900
irons_spellbooks:fire_ale,1300
paraglider:spirit_orb,512
hazennstuff:phantasmium,0.5
minecraft:sculk_shrieker,30
paraglider:heart_container,2048
minecraft:iron_horse_armor,90
minecraft:prismarine_crystals,70
born_in_chaos_v1:gnawed_bones,90
minecraft:sculk,5
minecraft:bee_nest,220
minecraft:pufferfish_bucket,200
minecraft:pitcher_pod,1
born_in_chaos_v1:spider_mandible,90
chimes:carved_bamboo_chimes,120
minecraft:experience_bottle,240
born_in_chaos_v1:birch_branches,1600
