node,value,cycle,representative,partition
minecraft:basalt,0.08,,,part-002
minecraft:red_mushroom,0.05,,,part-000
betterarcheology:guardian_fossil_head,48,,,part-008
minecraft:music_disc_stal,128,,,part-009
minecraft:dead_tube_coral_fan,0.4,,,part-010
crystal_chronicles:artree_base,0.15,,,part-012
minecraft:brain_coral_fan,0.4,,,part-015
born_in_chaos_v1:tombstone_derivas,256,,,part-017
artifacts:flippers,512,,,part-019
artifacts:fire_gauntlet,512,,,part-020
minecraft:tropical_fish,1,,,part-023
irons_spellbooks:autoloader_crossbow,128,,,part-024
born_in_chaos_v1:seedof_chaos,32,,,part-000
betterarcheology:growth_totem,4096,,,part-000
minecraft:arms_up_pottery_sherd,128,,,part-030
minecraft:nether_star,2048,,,part-000
minecraft:dead_fire_coral,0.4,,,part-032
irons_spellbooks:decrepit_scythe,4096,,,part-000
minecraft:warped_nylium,0.1,,,part-037
numismatics:sun,4096,,,part-041
relics:bastion_ring,512,,,part-042
relics:chorus_inhibitor,512,,,part-044
crystal_chronicles:blood_bases,0.2,,,part-045
artifacts:antidote_vessel,512,,,part-046
betterarcheology:creeper_fossil_head,48,,,part-047
minecraft:music_disc_mall,128,,,part-048
minecraft:frogspawn,6,,,part-049
irons_spellbooks:blaze_spell_book,32,,,part-050
artifacts:everlasting_beef,512,,,part-051
minecraft:tropical_fish_bucket,1,,,part-054
minecraft:potato,0.5,,,part-000
irons_spellbooks:archevoker_chestplate,"",,,part-000
relics:aqua_walker,512,,,part-057
minecraft:seagrass,0.05,,,part-058
born_in_chaos_v1:charmof_power,32,,,part-060
crystal_chronicles:fat_tissue_ball,3,,,part-061
minecraft:porkchop,1,,,part-000
born_in_chaos_v1:damned_demomans_hat_helmet,48,,,part-000
born_in_chaos_v1:lord_pumpkinheads_empty_lamp,192,,,part-000
relics:reflection_necklace,512,,,part-066
minecraft:water_bucket,1,,,part-000
born_in_chaos_v1:intoxicating_decoction,16,,,part-000
supplementaries:ash,0.5,,,part-000
artifacts:cowboy_hat,512,,,part-068
irons_spellbooks:cultist_leggings,"",,,part-000
artifacts:feral_claws,512,,,part-071
relics:roller_skates,512,,,part-075
minecraft:angler_pottery_sherd,128,,,part-077
betterarcheology:wolf_fossil_body,48,,,part-078
minecraft:cod_bucket,1,,,part-081
minecraft:saddle,48,,,part-000
irons_spellbooks:evasion_elixir,32,,,part-083
supplementaries:flax_seeds,0.3,,,part-087
relics:leather_belt,512,,,part-089
born_in_chaos_v1:tombstone_feral,256,,,part-092
minecraft:ink_sac,4,,,part-000
born_in_chaos_v1:tombstone_2_dling,256,,,part-093
minecraft:music_disc_pigstep,128,,,part-094
artifacts:flame_pendant,512,,,part-095
minecraft:phantom_membrane,5,,,part-000
minecraft:dead_bubble_coral,0.4,,,part-098
minecraft:skeleton_skull,48,,,part-000
minecraft:horn_coral_block,0.4,,,part-099
gametechbcs_spellbooks:amulet_of_spectral_shift,64,,,part-102
relics:elytra_booster,512,,,part-104
minecraft:skull_pottery_sherd,128,,,part-106
minecraft:wither_rose,2,,,part-000
minecraft:bubble_coral_block,0.4,,,part-107
minecraft:heartbreak_pottery_sherd,128,,,part-109
minecraft:music_disc_creator,128,,,part-115
numismatics:cog,64,,,part-000
betterarcheology:music_disc_swings,128,,,part-118
minecraft:music_disc_chirp,128,,,part-119
minecraft:totem_of_undying,96,,,part-000
betterarcheology:vase_creeper,10,,,part-121
irons_spellbooks:magehunter,16,,,part-122
artifacts:crystal_heart,512,,,part-123
irons_spellbooks:cryomancer_chestplate,"",,,part-000
minecraft:burn_pottery_sherd,128,,,part-125
minecraft:music_disc_cat,128,,,part-127
born_in_chaos_v1:elixirof_wither_resistance,16,,,part-129
dried_ghast:dried_ghast,16,,,part-131
irons_spellbooks:lightning_rod,1580,,,part-134
artifacts:charm_of_sinking,512,,,part-135
born_in_chaos_v1:potion_of_rampage,16,,,part-137
born_in_chaos_v1:ethereal_spirit,5,,,part-000
evenmoreinstruments:record_johnny,128,,,part-140
minecraft:brain_coral,0.4,,,part-000
minecraft:music_disc_13,128,,,part-141
minecraft:ominous_trial_key,256,,,part-142
minecraft:music_disc_11,128,,,part-143
betterarcheology:vase_green,10,,,part-146
betterarcheology:ocelot_fossil_head,48,,,part-029
irons_spellbooks:ice_venom_vial,12,,,part-000
relics:phantom_block,512,,,part-151
artifacts:kitty_slippers,512,,,part-153
born_in_chaos_v1:pumpkinhandgun,48,,,part-155
irons_spellbooks:invisibility_elixir,32,,,part-159
betterarcheology:chicken_fossil_head,48,,,part-160
minecraft:scrape_pottery_sherd,128,,,part-167
minecraft:music_disc_mellohi,128,,,part-168
irons_spellbooks:shadowwalker_boots,"",,,part-000
betterarcheology:radiance_totem,4096,,,part-171
born_in_chaos_v1:nightmare_stalker_skull,72,,,part-000
supplementaries:quiver,48,,,part-174
betterarcheology:suspicious_red_sand,0.05,,,part-177
minecraft:dead_brain_coral,0.4,,,part-178
crystal_chronicles:neuron,0.8,,,part-000
minecraft:tube_coral_block,0.4,,,part-179
minecraft:spider_eye,0.5,,,part-000
born_in_chaos_v1:tombstone_petasi,256,,,part-180
crystal_chronicles:artree_vein,0.12,,,part-182
born_in_chaos_v1:holiday_candy,4,,,part-000
betterarcheology:sheep_fossil_head,48,,,part-126
born_in_chaos_v1:evil_carved_pumpkin,0.05,,,part-000
born_in_chaos_v1:wood_splitter_axe,32,,,part-000
minecraft:brown_mushroom_block,0.1,,,part-187
irons_spellbooks:hither_thither_wand,2048,,,part-190
arcane_abilities:stellar_sphere,512,,,part-192
irons_spellbooks:chained_book,64,,,part-194
born_in_chaos_v1:monster_skin,10,,,part-000
minecraft:medium_amethyst_bud,2,,,part-196
betterarcheology:evoker_trap,1,,,part-198
minecraft:egg,0.25,,,part-000
minecraft:verdant_froglight,5,,,part-199
minecraft:fern,0.05,,,part-000
minecraft:shroomlight,0.5,,,part-000
minecraft:carrot,0.8,,,part-000
minecraft:pufferfish,1,,,part-000
minecraft:music_disc_creator_music_box,128,,,part-202
irons_spellbooks:music_disc_dead_king_lullaby,128,,,part-205
minecraft:rabbit,1,,,part-000
minecraft:brewer_pottery_sherd,128,,,part-206
minecraft:big_dripleaf,0.05,,,part-208
minecraft:music_disc_far,128,,,part-209
artifacts:snorkel,512,,,part-212
irons_spellbooks:keeper_flamberge,32,,,part-000
minecraft:nether_sprouts,0.05,,,part-213
irons_spellbooks:electromancer_helmet,"",,,part-000
minecraft:small_dripleaf,0.05,,,part-218
born_in_chaos_v1:nightmare_claw,32,,,part-000
minecraft:breeze_rod,6,,,part-000
artifacts:bunny_hoppers,512,,,part-220
minecraft:short_grass,0.05,,,part-108
minecraft:goat_horn,32,,,part-223
irons_spellbooks:dragonskin,172,,,part-000
minecraft:mourner_pottery_sherd,128,,,part-226
minecraft:warped_roots,0.05,,,part-227
born_in_chaos_v1:missionary_hat_helmet,64,,,part-000
born_in_chaos_v1:trident_hayfork,24,,,part-233
minecraft:sculk_sensor,1,,,part-000
born_in_chaos_v1:gummy_vampire_teeth,8,,,part-000
minecraft:weeping_vines,0.05,,,part-235
artifacts:running_shoes,512,,,part-236
artifacts:warp_drive,512,,,part-238
supplementaries:urn,2,,,part-240
irons_spellbooks:hogskin,4,,,part-000
minecraft:pearlescent_froglight,5,,,part-246
minecraft:player_head,48,,,part-250
irons_spellbooks:silver_ring,16,,,part-251
born_in_chaos_v1:charmof_endurance,32,,,part-254
numismatics:sprocket,16,,,part-255
relics:springy_boot,512,,,part-256
born_in_chaos_v1:spiny_shell,32,,,part-000
born_in_chaos_v1:tombstone_the_gentleman_frog,256,,,part-257
minecraft:heart_pottery_sherd,128,,,part-259
minecraft:wet_sponge,2,,,part-262
born_in_chaos_v1:tombstone_fubuki_banzai,256,,,part-263
relics:magic_mirror,512,,,part-264
minecraft:fire_coral,0.4,,,part-000
minecraft:chainmail_helmet,2,,,part-000
minecraft:crimson_roots,0.02,,,part-265
betterarcheology:rotten_log,0.25,,,part-000
born_in_chaos_v1:charmof_stealth,32,,,part-268
born_in_chaos_v1:elixir_of_vampirism,16,,,part-269
minecraft:music_disc_blocks,128,,,part-271
relics:researching_table,512,,,part-275
minecraft:trident,64,,,part-277
irons_spellbooks:greater_oakskin_elixir,96,,,part-278
born_in_chaos_v1:corpse_maggot,2,,,part-000
artifacts:cloud_in_a_bottle,512,,,part-281
minecraft:howl_pottery_sherd,128,,,part-284
born_in_chaos_v1:bottle_of_magical_energy,5,,,part-286
crystal_chronicles:flesh_block,0.5,,,part-287
irons_spellbooks:ruined_book,48,,,part-000
minecraft:heavy_core,512,,,part-000
born_in_chaos_v1:lifestealer_skull,64,,,part-288
minecraft:armadillo_scute,12,,,part-289
born_in_chaos_v1:tombstone_dark_titan_066,256,,,part-290
supplementaries:bomb_blue,12,,,part-292
relics:enders_hand,512,,,part-294
artifacts:power_glove,512,,,part-295
artifacts:pickaxe_heater,512,,,part-296
relics:shadow_glaive,512,,,part-299
irons_spellbooks:cryomancer_boots,"",,,part-000
born_in_chaos_v1:tombstone_2003wise,256,,,part-301
minecraft:bamboo,0.05,,,part-000
irons_spellbooks:invisibility_ring,1024,,,part-306
minecraft:rabbit_hide,2,,,part-000
irons_spellbooks:archevoker_leggings,"",,,part-000
irons_spellbooks:blood_staff,1024,,,part-309
minecraft:music_disc_ward,128,,,part-310
born_in_chaos_v1:fused_bone,4,,,part-000
crystal_chronicles:blood_bucket,5,,,part-314
minecraft:crimson_nylium,0.05,,,part-315
minecraft:wither_skeleton_skull,48,,,part-000
born_in_chaos_v1:tombstone_rotborne,256,,,part-316
crystal_chronicles:alveolus_block,0.05,,,part-317
minecraft:tube_coral_fan,0.4,,,part-318
artifacts:withered_bracelet,512,,,part-323
minecraft:kelp,0.05,,,part-000
numismatics:spur,1,,,part-325
minecraft:dead_bubble_coral_fan,0.4,,,part-326
crystal_chronicles:axon,0.3,,,part-000
minecraft:tube_coral,0.4,,,part-000
artifacts:night_vision_goggles,512,,,part-328
born_in_chaos_v1:tombstone_tem_187,256,,,part-330
minecraft:ghast_tear,8,,,part-000
born_in_chaos_v1:magical_holiday_candy,32,,,part-333
born_in_chaos_v1:orbofthe_summoner,84,,,part-000
born_in_chaos_v1:lifestealer_bone,8,,,part-000
born_in_chaos_v1:spiritual_guide_sombrero_helmet,64,,,part-000
evenmoreinstruments:record_oven_kid,128,,,part-335
numismatics:bevel,8,,,part-336
irons_spellbooks:priest_helmet,"",,,part-000
minecraft:music_disc_wait,128,,,part-337
artifacts:shock_pendant,512,,,part-338
relics:wool_mitten,512,,,part-339
betterarcheology:vase,10,,,part-341
darkdoppelganger:summons_necklace,4096,,,part-342
minecraft:sweet_berries,0.05,,,part-000
minecraft:heart_of_the_sea,128,,,part-000
minecraft:warped_wart_block,0.2,,,part-344
irons_spellbooks:priest_chestplate,"",,,part-000
artifacts:onion_ring,512,,,part-345
minecraft:cobbled_deepslate,0.08,,,part-000
