node,SCT
crystal_chronicles:bronchus_planks,1.250
suppsquared:item_shelf_jungle,0.630
born_in_chaos_v1:great_reaper_axe,15305.000
protection_pixel:hellsnakeas_chestplate,3862.830
sophisticatedstorage:diamond_to_netherite_tier_upgrade,78.400
minecraft:chiseled_tuff_bricks,16.000
minecraft:stonecutter,64.000
irons_spellbooks:greater_conjurers_talisman,4414.850
crystal_chronicles:bronchus_door,2.500
hazennstuff:dreadstone,40.000
exposure_polaroid:high_sensitivity_instant_black_and_white_slide,13.080
minecraft:melon,67.500
create:oak_window,9.250
somemoreblocks:polished_dripstone_stairs,4.000
somemoreblocks:red_sandstone_tiles,64.000
protection_pixel:socks_boots,74.620
minecraft:cobblestone_wall,16.000
somemoreblocks:smooth_end_stone,16.000
somemoreblocks:tiled_tinted_glass,19.420
minecraft:waxed_cut_copper_slab,9.720
born_in_chaos_v1:skullbreaker_hammer,33305.000
hazennstuff:obsidian_claymore,0.000
hazennstuff:hammush,4831.470
somemoreblocks:iron_grate,144.000
somemoreblocks:yellow_checkered_tiles,16.010
minecraft:spruce_sign,0.830
born_in_chaos_v1:scorched_planks_button,1.800
better_weaponry:emerald_shield,54.980
somemoreblocks:mossy_tuff_brick_slab,8.120
somemoreblocks:purpur_tile_stairs,15.000
fdbosses:divine_gear,0.000
somemoreblocks:snow_brick_slab,0.500
sophisticatedbackpacks:advanced_refill_upgrade,300.580
sophisticatedstorage:copper_to_iron_tier_upgrade,64.520
create:copper_bars,0.220
minecraft:leather_helmet,40.000
minecraft:glow_item_frame,19.610
crystal_chronicles:toxic_chestplate,10267.030
minecraft:crimson_fungus,0.250
genshinstrument:ukulele,18.320
minecraft:chiseled_nether_bricks,0.400
better_weaponry:amethyst_shovel,6.550
minecraft:nether_brick_stairs,0.400
supplementaries:bubble_blower,23.120
supplementaries:crank,48.420
minecraft:recovery_compass,7264.100
hazennstuff:cloth_of_the_flamebearer,0.000
hazennstuff:cryogenic_ruler_helmet,15821.280
minecraft:cherry_fence,0.830
hazennstuff:hazel_boots,17046.950
better_weaponry:wooden_dagger,1.250
supplementaries:netherite_trapdoor,41.880
crystal_chronicles:bronchus_pressure_plate,2.500
irons_spellbooks:autoloader_crossbow,187.860
create:cherry_window,9.250
somemoreblocks:cracked_snow_tiles,1.000
better_weaponry:golden_claymore,30.300
crystal_chronicles:paladin_leggings,10166.630
somemoreblocks:red_shingles_stairs,8.000
somemoreblocks:mossy_diorite_brick_wall,16.250
irons_spellbooks:hellrazor,64.530
better_weaponry:netherite_cutlass,764.660
exposure:high_sensitivity_black_and_white_film,108.980
minecraft:cut_sandstone_slab,32.000
create:clockwork_bearing,28.650
born_in_chaos_v1:black_argillite_button,6.500
minecraft:cherry_door,0.830
somemoreblocks:smooth_dripstone_slab,2.000
sophisticatedbackpacks:advanced_pump_upgrade,825.400
protection_pixel:falconnest_chestplate,514.110
minecraft:tuff_bricks,16.000
minecraft:acacia_door,0.830
suppsquared:gold_plaque,7.470
minecraft:prismarine_stairs,8.320
somemoreblocks:mossy_sandstone_bricks,64.250
minecraft:mojang_banner_pattern,4250.250
supplementaries:way_sign_bamboo,0.750
born_in_chaos_v1:seedof_chaos,0.000
somemoreblocks:calcite_brick_slab,8.000
somemoreblocks:black_concrete_tiles,16.020
minecraft:fire_charge,4.030
supplementaries:ash_bricks_stairs,4.000
create:industrial_iron_window_pane,7.500
minecraft:white_dye,0.250
betterarcheology:ocelot_fossil,15000.000
somemoreblocks:ice_pillar,9.000
irons_spellbooks:mithril_weave,12.240
better_weaponry:copper_katana,2.140
sophisticatedstorage:controller,350.300
create:mechanical_harvester,119.300
minecraft:nether_star,0.000
minecraft:stone_button,16.000
create_hypertube:redstone_detector_tube_attachment,148.080
somemoreblocks:dripstone_tile_slab,2.000
minecraft:waxed_oxidized_chiseled_copper,19.430
hazennstuff:dreadsteel_knight_helmet,11917.110
create:cardboard_leggings,26.250
better_weaponry:wooden_rapier,2.500
better_weaponry:emerald_sword,100.420
hazennstuff:shadow_upgrade_orb,37986.080
minecraft:tinted_glass,19.420
hazennstuff:wisewood_pressure_plate,1.070
minecraft:lodestone,144.000
hazennstuff:dreadsteel_knight_chestplate,12828.950
hazennstuff:mithril_battlemage_helmet,5717.830
somemoreblocks:brown_stained_tiled_glass,16.000
somemoreblocks:gray_shingles,8.000
irons_spellbooks:inscription_table,5.220
minecraft:purpur_block,15.000
minecraft:netherite_hoe,763.820
